Description,Word_No,Valence_Mean,Valence_Mean_SD,Arousal_Mean,Arousal_Mean_SD,Dominance_Mean,Dominance_Mean_SD,Word_Frequency,POS
pressure,944,3.38,(1.61),6.07,(2.26),3.45,(2.07),185,NOUN
prestige,945,7.26,(1.90),5.86,(2.08),6.9,(1.96),29,PROPN
pretty,326,7.75,(1.26),6.03,(2.22),5.5,(1.97),107,VERB
prick,946,3.98,(1.73),4.7,(2.59),4.47,(1.88),2,NOUN
pride,327,7.0,(2.11),5.83,(2.48),7.06,(2.15),42,PROPN
priest,328,6.42,(2.00),4.41,(2.71),4.88,(2.07),16,PROPN
prison,329,2.05,(1.34),5.7,(2.56),4.2,(2.58),42,NOUN
privacy,330,5.88,(1.50),4.12,(1.83),5.66,(1.78),12,NOUN
profit,331,7.63,(1.30),6.68,(1.78),5.85,(2.47),28,PROPN
progress,947,7.73,(1.34),6.02,(2.58),6.76,(2.05),120,NOUN
promotion,332,8.2,(1.15),6.44,(2.58),6.79,(2.28),26,NOUN
protected,333,7.29,(1.79),4.09,(2.77),5.8,(2.54),31,PROPN
proud,334,8.03,(1.56),5.56,(3.01),6.74,(2.73),50,NOUN
pungent,948,3.95,(2.09),4.24,(2.17),4.78,(1.52),4,NOUN
punishment,335,2.22,(1.41),5.93,(2.40),3.5,(2.43),21,NOUN
puppy,336,7.56,(1.90),5.85,(2.78),5.51,(2.39),2,NOUN
pus,602,2.86,(1.91),4.82,(2.06),4.35,(1.82),.,PROPN
putrid,337,2.38,(1.71),5.74,(2.26),4.89,(2.09),.,NOUN
python,949,4.05,(2.48),6.18,(2.25),4.52,(2.56),14,VERB
quality,950,6.25,(1.59),4.48,(2.12),5.64,(1.59),114,NOUN
quarrel,338,2.93,(2.06),6.29,(2.56),4.02,(2.16),20,NOUN
quart,951,5.39,(2.01),3.59,(2.51),5.2,(1.86),3,NOUN
queen,952,6.44,(1.43),4.76,(2.18),5.49,(2.12),41,PROPN
quick,953,6.64,(1.61),6.57,(1.78),6.57,(1.91),68,NOUN
quiet,339,5.58,(1.83),2.82,(2.13),4.42,(2.30),76,PROPN
rabbit,527,6.57,(1.92),4.02,(2.19),6.08,(1.72),11,PROPN
rabies,340,1.77,(0.97),6.1,(2.62),3.85,(2.34),1,NOUN
radiant,954,6.73,(2.17),5.39,(2.82),5.61,(2.17),8,PROPN
radiator,955,4.67,(1.05),4.02,(1.94),4.81,(1.38),4,NOUN
radio,341,6.73,(1.47),4.78,(2.82),5.28,(1.85),120,PROPN
rage,342,2.41,(1.86),8.17,(1.40),5.68,(3.01),16,PROPN
rain,569,5.08,(2.51),3.65,(2.35),4.78,(1.68),70,PROPN
rainbow,343,8.14,(1.23),4.64,(2.88),4.72,(2.37),4,NOUN
rancid,956,4.34,(2.28),5.04,(2.27),4.59,(1.86),.,PROPN
rape,344,1.25,(0.91),6.81,(3.17),2.97,(2.94),5,ADJ
rat,345,3.02,(1.66),4.95,(2.36),4.55,(2.14),6,NOUN
rattle,346,5.03,(1.23),4.36,(2.18),4.17,(1.56),5,PROPN
razor,957,4.81,(2.16),5.36,(2.44),4.91,(1.95),15,PROPN
red,570,6.41,(1.61),5.29,(2.04),5.78,(1.59),197,NOUN
refreshment,347,7.44,(1.29),4.45,(2.70),5.0,(1.92),2,VERB
regretful,348,2.28,(1.42),5.74,(2.32),3.43,(2.52),1,PROPN
rejected,349,1.5,(1.09),6.37,(2.56),2.72,(2.58),33,NOUN
relaxed,350,7.0,(1.77),2.39,(2.13),5.55,(1.90),14,VERB
repentant,351,5.53,(1.86),4.69,(1.98),5.42,(2.06),1,VERB
reptile,958,4.77,(2.00),5.18,(2.19),4.77,(2.02),.,PROPN
rescue,352,7.7,(1.24),6.53,(2.56),6.45,(2.29),15,NOUN
resent,959,3.76,(1.90),4.47,(2.12),4.46,(2.09),8,PROPN
reserved,353,4.88,(1.83),3.27,(2.05),4.3,(1.93),27,PROPN
respect,354,7.64,(1.29),5.19,(2.39),6.89,(2.11),125,PROPN
respectful,355,7.22,(1.27),4.6,(2.67),5.67,(2.38),4,PROPN
restaurant,960,6.76,(1.85),5.41,(2.55),5.73,(1.41),41,PROPN
reunion,961,6.48,(2.45),6.34,(2.35),5.64,(1.95),11,VERB
reverent,356,5.35,(1.21),4.0,(1.60),4.67,(1.68),3,PROPN
revolt,357,4.13,(1.78),6.56,(2.34),6.18,(2.11),8,PROPN
revolver,962,4.02,(2.44),5.55,(2.39),4.39,(2.47),14,PROPN
reward,358,7.53,(1.67),4.95,(2.62),6.0,(2.14),15,PROPN
riches,359,7.7,(1.95),6.17,(2.70),6.74,(2.43),2,PROPN
ridicule,360,3.13,(2.24),5.83,(2.73),3.87,(2.70),5,PROPN
rifle,603,4.02,(2.76),6.35,(2.04),4.16,(2.71),63,NOUN
rigid,963,3.66,(2.12),4.66,(2.47),4.61,(2.04),24,VERB
riot,361,2.96,(1.93),6.39,(2.63),4.18,(2.47),7,PROPN
river,362,6.85,(1.69),4.51,(2.42),5.1,(1.86),165,NOUN
roach,363,2.35,(1.70),6.64,(2.64),4.82,(2.94),2,PROPN
robber,964,2.61,(1.69),5.62,(2.72),3.62,(2.38),2,PROPN
rock,965,5.56,(1.38),4.52,(2.37),5.15,(2.01),75,PROPN
rollercoaster,528,8.02,(1.63),8.06,(1.71),5.1,(2.76),.,PROPN
romantic,364,8.32,(1.00),7.59,(2.07),6.08,(2.29),32,PROPN
rotten,365,2.26,(1.37),4.53,(2.38),4.32,(2.09),2,NOUN
rough,966,4.74,(2.00),5.33,(2.04),4.81,(1.70),41,NOUN
rude,366,2.5,(2.11),6.31,(2.47),4.91,(2.49),6,PROPN
runner,571,5.67,(1.91),4.76,(2.40),5.47,(1.84),1,PROPN
rusty,367,3.86,(1.47),3.77,(2.16),4.53,(1.62),8,VERB
sad,368,1.61,(0.95),4.13,(2.38),3.45,(2.18),35,NOUN
safe,967,7.07,(1.90),3.86,(2.72),5.81,(2.06),58,NOUN
sailboat,529,7.25,(1.71),4.88,(2.73),5.86,(1.71),1,PROPN
saint,968,6.49,(1.70),4.49,(1.90),5.37,(2.11),16,NOUN
salad,369,5.74,(1.62),3.81,(2.29),5.47,(1.68),9,PROPN
salute,370,5.92,(1.57),5.31,(2.23),5.46,(2.05),3,ADV
